nameDisplay,name,count
Orange Juice,Orange Juice,3
Vodka,Vodka,8
Light Rum,Light Rum,1
Triple Sec,Triple Sec,6
Gin,Gin,15
Tequila,Tequila,3
Lemon,Lemon,6
Bailey'S Irish Cream,Bailey'S Irish Cream,2
Kahlua,Kahlua,2
Grenadine,Grenadine,3
Cranberry Juice,Cranberry Juice,1
Lemon Juice,Lemon Juice,3
Sweet Vermouth,Sweet Vermouth,1
Dry Vermouth,Dry Vermouth,2
Lemon Peel,Lemon Peel,2
Bitters,Bitters,1
Brandy,Brandy,1
Cherry,Cherry,1
Blended Whiskey,Blended Whiskey,1
Water,Water,1
Maraschino Cherry,Maraschino Cherry,2
Orange,Orange,3
Carbonated Water,Carbonated Water,2
